Medicine,Active Ingredient(s),Drug Class
Herceptin,Trastuzumab,Monoclonal antibody
Atripla,"Emtricitabine, Tenofovir, Efavirenz",Antiretroviral drugs
Xarelto,Rivaroxaban,Anticoagulant drug
Stalevo 50,"Levodopa, Carbidopa, Entacapone",Antiparkinsonian medicine
Fioricet,"Acetaminophen, Butalbital, Caffeine","Analgesic / antipyretic, Barbiturate"
Levemir,Insulin detemir,Long-acting insulin
Lovenox,Enoxaparin,Low-molecule weight heparin (LMWH)
"Ritalin, Concerta",Methylphenidate,CNS Stimulant
Crestor,Rosuvastatin,Statin
"Xgeva, Prolia",Denosumab,Monoclonal antibody
Pradaxa,Dabigatran,Anticoagulant drug
Sensipar,Cinacalcet,Calcimimetic
Vesicare,Solifenacin,Antimuscarinic drug
Haldol,Haloperidol,Antipsychotic drug
Ala-Cort,Hydrocortisone,Corticosteroid
HumuLIN,Insulin isophane,Intermediate-acting insulin
Isentress,Raltegravir,Integrase inhibitor
Stelara,Ustekinumab,Monoclonal antibody
Mobic,Meloxicam,NSAID
Remicade,Infliximab,Monoclonal antibody
Night Time,Acetaminophen Diphenhydramine,Analgesic / antipyretic Antihistamine
Renvela,Sevelamer,Phosphate binder
Fragmin,Dalteparin,"Low-molecular weight, Heparin (LMWH)"
Zoloft,Sertraline,SSRI
Klonopin,Clonazepam,Benzodiazepine
Avalide,"Hydrochlorothiazide, Irbesartan","Thiazide diuretic, Angiotensin II blocker"
Ceftin,Cefuroxime,Cephalosporin
Nizoral Topical,Ketoconazole,Antifungal drug
Lyrica,Pregabalin,Anticonvulsant drug
Nexium,Esomeprazole,Proton-pump inhibitor
Combivent Respimat,"Albuterol, Ipratropium","Beta-2 agonist, Anticholinergic drug"
Niaspan,Niacin,Form of vitamin B3
Uroxatral,Alfuzosin,Alpha-1 blocker
Biaxin,Clarithromycin,Macrolide antibacterial
Zomig,Zolmitriptan,Anti-migraine drug
Invokana,Canagliflozin,"SGLT-2 inhibitor, Antidiabetic drug"
"Saxenda, Victoza",Liraglutide,"GLP-1 agonist, Antidiabetic drug"
Alimta,Pemetrexed,Anticancer drug
Lotrisone,"Clotrimazole, Betamethasone","Antifungal drug, Corticosteroid"
Avastin,Bevacizumab,Anticancer drug
Sovaldi,Sofosbuvir,Hepatitis C drug
Gilenya,Fingolimod,Immunomodulator
Epogen,Epoetin alfa,Human erythropoietin
Seroquel,Quetiapine,Antipsychotic drug
Amaryl,Glimepiride,Antidiabetic medicine
Percocet,"Acetaminophen, Oxycodone","Analgesic / antipyretic, Opioid"
"SandIMMUNE, Neoral",Cyclosporin,Immunosuppressant
Lantus,Insulin glargine,Long-acting insulin
Cialis,Tadalafil,PDE5 inhibitor
"Elavil, Vanatrip",Amitriptyline,Tricyclic antidepressant
Lopid,Gemfibrozil,Fibrate
Flo-Pred,Prednisolone,Corticosteroid
Advil,Ibuprofen,NSAID
Aceon,Perindopril,ACE inhibitor
Desyrel,Trazodone,Antidepressant
Actos,Pioglitazone,Thiazolidinedione
Proscar,Finasteride,5-alpha reductase inhibitor
"Inbrija, Dopar, Larodopa",Levodopa,Antiparkinsonian drug
Actonel,Risedronate,Bisphosphonate
"ProAir, Ventolin, Proventil",Albuterol  ,Beta-2 agonist
Ultram,Tramadol,Opiate narcotic
Sonata,Zaleplon,Z-drug / hypnotic
Zebeta,Bisoprolol,Beta-blocker
Zovirax,Acyclovir,Antiviral drug
Coumadin,Warfarin,Anticoagulant drug
Luvox,Fluvoxamine,SSRI
Plavix,Clopidogrel,Antiplatelet drug
"Vibramycin, Adoxa",Doxycycline,Tetracycline antibiotic
Hyzaar,"Hydrochlorothiazide, Losartan","Thiazide diuretic, Angiotensin II blocker"
"Kytril, Sancuso",Granisetron,Antiemetic drug
Restoril,Temazepam,Benzodiazepine
Prevacid,Lansoprazole,Proton-pump inhibitor
Augmentin,"Amoxicillin, Clavulanic acid","Penicillin antibiotic, Beta-lactamase inhibitor"
"Mevacor, Altoprev",Lovastatin,Statin
